archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,elev_lowestmode,l2a_quality_flag_rel3,degrade_flag,sensitivity,rh25,rh50,rh75,rh95,rh98,motivo,detalle
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262817,-42.662618,-71.543965,291509.0,5273512.0,1077.9877,0,0,0.9448473,1.6,4.22,7.55,11.15,12.04,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262818,-42.662906,-71.543393,291556.9,5273481.4,1075.1064,0,0,0.8403994,-1.42,0.37,2.32,4.64,5.2,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262819,-42.663194,-71.542820,291604.8,5273450.8,1073.9961,0,0,0.87969977,0.03,2.43,7.14,13.35,14.22,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262820,-42.663482,-71.542251,291652.4,5273420.4,1066.0844,0,0,0.94761765,3.44,5.53,11.75,15.97,16.8,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262821,-42.663770,-71.541677,291700.4,5273389.7,1067.0063,0,0,0.9364728,-1.64,0.07,1.72,3.51,4.11,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262822,-42.664059,-71.541103,291748.4,5273359.1,1067.3542,0,0,0.940812,-2.43,-0.29,1.64,4.0,4.64,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262823,-42.664348,-71.540528,291796.5,5273328.4,1069.3981,0,0,0.8386012,-1.08,0.0,1.12,2.58,3.03,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262824,-42.664636,-71.539955,291844.4,5273297.8,1069.7136,0,0,0.9475163,-1.12,0.14,1.49,3.21,3.77,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262825,-42.664924,-71.539383,291892.3,5273267.2,1067.6129,0,0,0.77122724,-1.19,-0.11,0.93,2.28,2.69,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262826,-42.665212,-71.538813,291939.9,5273236.7,1060.3115,0,0,0.93102616,-1.12,-0.07,0.93,2.32,2.8,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262827,-42.665499,-71.538243,291987.6,5273206.2,1054.6884,0,0,0.7775809,-1.23,0.07,1.38,3.06,3.51,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262828,-42.665787,-71.537670,292035.5,5273175.6,1054.1968,0,0,0.8194606,-1.16,-0.07,0.97,2.35,2.8,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262829,-42.666076,-71.537097,292083.5,5273144.9,1055.0703,0,0,0.91886115,-0.89,0.07,1.04,2.24,2.61,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262830,-42.666365,-71.536523,292131.5,5273114.3,1057.3414,0,0,0.93088675,-0.97,0.29,1.68,3.29,3.77,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262831,-42.666653,-71.535949,292179.5,5273083.6,1058.6456,0,0,0.9330787,1.53,3.85,5.95,8.27,8.86,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262832,-42.666943,-71.535372,292227.7,5273052.9,1066.6337,0,0,0.9078022,-1.08,0.44,2.05,3.96,4.64,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262833,-42.667232,-71.534798,292275.7,5273022.2,1068.3271,0,0,0.8123581,-1.12,0.11,1.42,3.21,3.7,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262834,-42.667521,-71.534224,292323.8,5272991.6,1070.8555,0,0,0.92728573,-0.93,0.18,1.34,2.95,3.44,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262835,-42.667809,-71.533651,292371.6,5272961.0,1070.4342,0,0,0.93891037,-1.01,0.03,1.12,2.58,3.06,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262836,-42.668098,-71.533077,292419.6,5272930.3,1072.4365,0,0,0.9247288,-0.59,1.04,3.06,5.61,6.32,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262837,-42.668388,-71.532497,292468.1,5272899.5,1085.9358,0,0,0.8011851,-1.23,-0.11,0.97,2.43,2.91,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
GEDI02_A_2024311132120_O33432_04_T08775_02_004_02_V003.h5,BEAM0000,334320000400262838,-42.668675,-71.531928,292515.7,5272869.0,1078.6434,0,0,0.8551455,-2.28,-0.56,0.97,2.8,3.36,calidad: forma de onda no interpretable,l2a_quality_flag_rel3=0
