shot_number,este_utm19s,norte_utm19s,altura_dosel_rh95_m,rh98_m,cover,pai,fhd_normal,pendiente_grados
334320800400262651,288053.2,5270923.6,4.75,5.42,0.20383708,0.45598698,1.6761111,11.41
334320800400262654,288200.6,5270831.0,5.64,6.39,0.13946451,0.3004364,1.8189938,13.87
334320800400262655,288248.7,5270800.4,3.03,3.7,0.00879487,0.017667664,1.0395153,5.11
334320800400262656,288296.3,5270769.8,4.37,5.46,0.0107146725,0.021545151,1.817016,12.07
334320800400262657,288344.4,5270739.1,6.09,8.3,0.0687751,0.14251672,2.4866412,13.69
334320800400262658,288393.0,5270708.4,6.2,7.14,0.22902356,0.5203057,1.9404116,15.61
334320800400262659,288441.6,5270677.6,5.79,6.84,0.07888235,0.16434541,1.8834397,15.90
334320800400262660,288489.9,5270646.9,9.91,10.99,0.36383972,0.90496796,2.3794935,15.35
334320800400262663,288637.2,5270554.3,5.46,6.8,0.018815627,0.03799033,1.9037011,19.83
334320800400262664,288685.5,5270523.5,9.91,11.18,0.406303,1.0432608,2.3950548,18.10
334320800400262665,288734.0,5270492.8,15.52,16.49,0.89773697,4.580024,2.6652,19.68
334320800400262666,288782.0,5270462.1,11.97,13.61,0.45595786,1.2181448,2.5791821,19.34
334320800400262671,289028.1,5270307.6,5.83,7.33,0.004972885,0.009970619,1.4620355,18.10
334320800400262672,289076.8,5270276.8,4.15,4.93,0.048341263,0.0991013,1.589482,13.73
334321100400257535,287218.8,5270735.9,6.54,7.66,0.08496176,0.17759086,2.2425425,17.49
334321100400257536,287267.5,5270705.2,3.44,4.33,0.005703054,0.011438806,1.0251328,12.35
334321100400257538,287363.0,5270644.1,8.08,9.42,0.08539307,0.17853393,2.063331,17.58
334321100400257539,287411.1,5270613.5,4.52,5.46,0.0075261765,0.015109367,1.4520593,19.75
334321100400257544,287691.7,5270431.1,6.69,8.19,0.1263474,0.27017316,2.2195373,16.75
334321100400257545,287738.8,5270400.6,5.31,6.58,0.31181067,0.74761754,1.8927512,9.21
334321100400257546,287786.8,5270370.0,7.33,8.15,0.4453465,1.1794556,2.0236,2.20
334321100400257547,287834.9,5270339.4,5.23,6.17,0.2389561,0.54624957,1.8242434,2.50
334321100400257548,287883.0,5270308.7,4.3,5.12,0.1208046,0.25752184,1.6680007,2.56
334321100400257549,287931.1,5270278.1,4.04,5.57,0.091821186,0.19264215,2.0038798,7.13
334321100400257550,287979.3,5270247.4,6.5,7.4,0.24644157,0.56602794,2.0041044,6.10
334321100400257551,288027.3,5270216.8,2.5,3.32,0.018451191,0.03724759,1.8567365,2.27
340730000400262458,289393.4,5274841.0,11.59,12.45,0.71876395,2.5427616,2.440302,19.05
340730000400262459,289441.2,5274810.4,10.73,11.55,0.6701021,2.2219827,2.4159513,12.03
340730000400262460,289489.0,5274779.8,9.98,10.73,0.5863337,1.7677307,2.2975423,6.04
340730000400262461,289536.8,5274749.2,11.25,12.45,0.45919,1.2303994,2.5052037,1.60
340730000400262463,289632.4,5274688.0,2.24,2.8,0.0359367,0.07319961,1.439573,3.26
340730000400262464,289680.3,5274657.3,12.15,13.23,0.34031138,0.83241117,2.639708,2.06
340730000400262465,289728.2,5274626.6,12.45,13.38,0.46994755,1.2706597,2.5360415,2.03
340730000400262466,289776.1,5274595.9,8.97,10.28,0.25325853,0.58427835,2.3658717,9.00
340730000400262472,290069.9,5274407.5,11.43,12.67,0.7170409,2.5304773,2.429355,16.64
340730000400262474,290165.8,5274346.2,4.67,5.49,0.056347,0.116001025,1.8820181,14.36
340730100400258033,290131.7,5273627.5,12.07,13.08,0.8142898,3.378634,2.4262304,19.78
340730100400258036,290278.1,5273533.8,3.47,4.22,0.073661365,0.15304354,1.7078001,17.24
340730100400258038,290374.5,5273472.2,2.95,3.55,0.0073448634,0.0147440545,1.0795848,6.44
340730100400258040,290470.3,5273411.0,6.76,7.92,0.28070855,0.65923476,2.1219823,11.19
340730100400258041,290518.7,5273380.1,11.47,12.44,0.7096899,2.4787405,2.4100592,15.47
340730100400258042,290567.5,5273348.9,8.37,9.04,0.4646736,1.2507879,2.2255766,16.21
340730100400258043,290616.4,5273317.7,4.71,5.3,0.08770632,0.18360505,1.7684495,12.66
340730100400258044,290664.9,5273286.7,6.24,7.29,0.36809504,0.9185558,1.9606072,13.85
340730200400263066,289163.8,5273711.2,2.61,3.29,0.013892224,0.027979605,1.5427691,5.85
340730200400263069,289307.5,5273619.8,9.31,9.94,0.6994627,2.4084523,2.2390015,2.17
340730200400263085,290083.4,5273124.3,3.44,4.03,0.06784416,0.1405197,1.5506715,6.64
340730300400257954,288744.4,5273237.6,7.47,8.33,0.50717425,1.4163284,2.0397117,5.61
340730300400257984,290189.2,5272316.4,4.86,5.6,0.084846154,0.17734039,1.936917,10.19
340730300400257985,290237.5,5272285.6,8.26,9.79,0.23867697,0.54553825,2.2668233,15.30
340730300400257986,290286.4,5272254.3,5.83,6.73,0.12291961,0.2623448,1.9503189,15.90
340730300400257987,290334.6,5272223.4,8.86,10.02,0.67343915,2.2415934,2.2098882,13.13
340730300400257988,290383.4,5272192.2,9.79,11.07,0.58533204,1.762421,2.2240431,16.45
340730300400257989,290432.1,5272161.1,12.75,13.57,0.399809,1.021561,2.6116352,19.26
340730300400257990,290480.8,5272129.9,15.63,17.01,0.92312425,5.164645,2.584905,19.65
