shot_number,lat,lon,elev_lowestmode,fabdem_m,n_egm2008_m,delta_terreno_m,control_terreno
332030500400193444,-42.727365,-71.029419,1024.8219,1003.42,21.176,0.22,PASA
332030500400193445,-42.727652,-71.028845,1023.4094,1002.03,21.174,0.20,PASA
332030500400193446,-42.727938,-71.028272,1022.72955,1000.51,21.173,1.05,PASA
332030500400193447,-42.728225,-71.027698,1022.6383,999.81,21.171,1.65,PASA
332030500400193448,-42.728512,-71.027123,1024.0239,1000.26,21.169,2.59,PASA
332030500400193449,-42.728799,-71.026548,1025.7443,1002.17,21.168,2.40,PASA
332030600401033899,-42.711120,-71.075620,1006.24426,984.04,21.333,0.88,PASA
332030600401033900,-42.711407,-71.075047,1007.6046,984.80,21.330,1.48,PASA
332030600401033901,-42.711694,-71.074474,1009.05066,987.05,21.328,0.67,PASA
332030600401033902,-42.711981,-71.073899,1012.97565,990.35,21.326,1.30,PASA
332030600401033903,-42.712267,-71.073331,1005.6816,985.46,21.324,-1.11,PASA
332030600401033904,-42.712552,-71.072762,998.4233,978.42,21.322,-1.32,PASA
332030600401033905,-42.712837,-71.072191,994.69354,973.68,21.320,-0.31,PASA
332030600401033906,-42.713123,-71.071620,991.3748,969.87,21.318,0.19,PASA
332030600401033907,-42.713409,-71.071050,987.334,966.86,21.316,-0.84,PASA
332030600401033908,-42.713695,-71.070479,984.5305,965.01,21.313,-1.79,PASA
332030600401033909,-42.713981,-71.069908,981.27313,961.73,21.311,-1.77,PASA
332030600401033910,-42.714267,-71.069336,978.9272,957.47,21.309,0.15,PASA
332030600401033911,-42.714554,-71.068764,978.53766,955.80,21.307,1.43,PASA
332030600401033912,-42.714840,-71.068192,976.0805,953.82,21.305,0.95,PASA
332030600401033913,-42.715126,-71.067621,972.62854,950.46,21.303,0.86,PASA
332030600401033914,-42.715412,-71.067050,968.4698,947.07,21.301,0.10,PASA
332030600401033915,-42.715697,-71.066479,964.4539,944.55,21.299,-1.40,PASA
332030600401033916,-42.715983,-71.065908,959.6121,940.38,21.297,-2.07,PASA
332030600401033917,-42.716269,-71.065337,954.1987,935.04,21.294,-2.14,PASA
332030600401033918,-42.716554,-71.064767,947.8303,927.92,21.292,-1.38,PASA
332030600401033919,-42.716842,-71.064190,954.4109,931.64,21.290,1.49,PASA
332030600401033920,-42.717130,-71.063615,958.9349,937.67,21.288,-0.03,PASA
332030600401033921,-42.717418,-71.063038,965.48425,943.56,21.286,0.64,PASA
332030600401033922,-42.717707,-71.062459,976.4441,954.03,21.284,1.13,PASA
332030600401033923,-42.717994,-71.061885,976.27435,955.35,21.282,-0.36,PASA
332030600401033924,-42.718282,-71.061308,983.8507,961.21,21.280,1.36,PASA
332030600401033925,-42.718569,-71.060734,984.0468,962.13,21.278,0.63,PASA
332030600401033926,-42.718856,-71.060159,986.6581,964.73,21.275,0.65,PASA
332030600401033927,-42.719144,-71.059582,992.0995,969.82,21.273,1.01,PASA
332030600401033928,-42.719431,-71.059007,994.57227,972.96,21.271,0.34,PASA
332030600401033930,-42.720007,-71.057856,1001.696,979.94,21.267,0.49,PASA
332030600401033931,-42.720294,-71.057281,1003.01074,980.86,21.265,0.88,PASA
332030600401033932,-42.720580,-71.056707,1002.6722,980.25,21.263,1.16,PASA
332030600401033933,-42.720868,-71.056131,1005.8644,983.21,21.261,1.39,PASA
332030600401033934,-42.721155,-71.055557,1006.6938,984.60,21.259,0.83,PASA
332030600401033935,-42.721442,-71.054982,1008.32306,985.66,21.256,1.41,PASA
332030600401033936,-42.721729,-71.054406,1010.9387,988.98,21.254,0.70,PASA
332030600401033937,-42.722017,-71.053831,1013.93024,992.97,21.252,-0.29,PASA
332030600401033938,-42.722305,-71.053254,1019.7989,997.41,21.250,1.14,PASA
332030600401033939,-42.722593,-71.052676,1026.16,1003.83,21.248,1.08,PASA
332030600401033940,-42.722880,-71.052101,1027.4827,1005.50,21.246,0.74,PASA
332030600401033941,-42.723167,-71.051527,1028.373,1006.69,21.244,0.44,PASA
332030600401033942,-42.723455,-71.050950,1034.3679,1011.74,21.242,1.38,PASA
332030600401033943,-42.723744,-71.050370,1045.9286,1022.01,21.240,2.68,PASA
332030600401033944,-42.724031,-71.049794,1049.5836,1030.34,21.237,-1.99,PASA
332030600401033945,-42.724319,-71.049216,1056.6,1033.51,21.235,1.86,PASA
332030600401033946,-42.724605,-71.048644,1051.4594,1032.46,21.233,-2.24,PASA
332030600401033947,-42.724894,-71.048064,1063.2041,1040.25,21.231,1.72,PASA
332030600401033948,-42.725182,-71.047488,1067.957,1044.79,21.229,1.94,PASA
332030600401033949,-42.725467,-71.046916,1062.1177,1042.08,21.227,-1.19,PASA
332030600401033950,-42.725754,-71.046341,1063.5406,1040.75,21.225,1.57,PASA
332030600401033953,-42.726624,-71.044595,1111.068,1087.51,21.219,2.34,PASA
332030600401033954,-42.726909,-71.044025,1103.1915,1084.79,21.216,-2.81,PASA
332030600401033958,-42.728046,-71.041751,1055.8241,1037.75,21.208,-3.13,PASA
332030600401033959,-42.728332,-71.041179,1051.1931,1032.19,21.206,-2.20,PASA
332030600401033960,-42.728618,-71.040606,1048.4683,1028.49,21.205,-1.23,PASA
332030600401033961,-42.728903,-71.040034,1043.6553,1023.37,21.203,-0.92,PASA
332030600401033962,-42.730335,-71.037164,1039.2714,1018.52,21.195,-0.44,PASA
332030600401033963,-42.730621,-71.036593,1033.4526,1014.28,21.193,-2.02,PASA
332030600401033964,-42.730907,-71.036020,1028.9987,1010.15,21.191,-2.34,PASA
332030600401033965,-42.731193,-71.035446,1027.899,1008.48,21.190,-1.77,PASA
332030600401033966,-42.731480,-71.034871,1029.1993,1009.13,21.188,-1.12,PASA
332030600401033967,-42.731767,-71.034296,1031.0145,1010.51,21.186,-0.69,PASA
