sitio,shot,este,norte,rh95,cover,pai,NDVI,EVI,NDMI,NBR
Estepa,356600800400197940,330395.8,5259399.7,2.09,0.0018287579,0.0036608663,0.13870474696159363,0.07334311306476593,-0.19671861827373505,-0.1712692826986313
Estepa,356600800400197941,330443.7,5259369.1,2.02,0.016754355,0.03379277,0.14747343957424164,0.07785473763942719,-0.19116491079330444,-0.16514520347118378
Estepa,356600800400197942,330491.6,5259338.5,1.98,0.0082005095,0.01646868,0.1377609819173813,0.07285166531801224,-0.19167780876159668,-0.16652095317840576
Estepa,356600800400197943,330539.3,5259308.0,2.28,0.034779787,0.0707988,0.14390766620635986,0.07630247622728348,-0.19528551399707794,-0.1679876744747162
Estepa,356600800400197944,330587.1,5259277.5,1.98,0.03140167,0.06381119,0.19260671734809875,0.09458264708518982,-0.22174061834812164,-0.18633832037448883
Estepa,356600800400197945,330634.9,5259246.9,2.69,0.11707516,0.24904053,0.14552967250347137,0.07750619947910309,-0.18872003257274628,-0.14011521637439728
Estepa,356600800400197946,330682.8,5259216.3,2.43,0.033225957,0.067581676,0.15199699997901917,0.0811411440372467,-0.19688503444194794,-0.14991289377212524
Estepa,356600800400197947,330730.7,5259185.7,2.05,0.034791835,0.07082377,0.15812712907791138,0.08085421472787857,-0.1938616931438446,-0.15789131820201874
Estepa,356600800400197948,330778.6,5259155.1,1.94,0.008243063,0.016554493,0.13899408280849457,0.07010409235954285,-0.20779572427272797,-0.17740774154663086
Estepa,356600800400197949,330826.4,5259124.6,1.94,0.028769253,0.05838294,0.12684808671474457,0.06661388278007507,-0.18482759594917297,-0.15758712589740753
Estepa,356600800400197950,330874.3,5259094.0,1.94,0.016352303,0.03297513,0.12977473437786102,0.06578030437231064,-0.20527076721191406,-0.1808721125125885
Estepa,356600800400197951,330922.2,5259063.4,1.87,0.0070880554,0.014226621,0.1416829228401184,0.07245103269815445,-0.195542573928833,-0.17291168868541718
Estepa,356600800400197952,330970.0,5259032.8,2.05,0.008595558,0.01726547,0.13775767385959625,0.07263386994600296,-0.19249111413955688,-0.16870075464248657
Estepa,356600800400197953,331017.7,5259002.3,3.21,0.08894057,0.1862999,0.1351803094148636,0.06905380636453629,-0.2099248319864273,-0.1816433072090149
Estepa,356600800400197954,331065.5,5258971.8,1.94,0.018340372,0.0370215,0.1302930861711502,0.06679435819387436,-0.20159877836704254,-0.16945922374725342
Estepa,356600800400197955,331113.4,5258941.2,1.9,0.022138208,0.04477419,0.12232950329780579,0.06307495385408401,-0.19616904854774475,-0.17023086547851562
Estepa,356600800400197956,331161.3,5258910.6,1.9,0.005835789,0.011705789,0.13066700100898743,0.0677461251616478,-0.1969018429517746,-0.17489126324653625
Estepa,356600800400197957,331209.2,5258880.0,1.94,0.005979601,0.011995124,0.1309231072664261,0.06689176708459854,-0.1975596398115158,-0.17641954123973846
Estepa,356600800400197958,331257.1,5258849.4,1.9,0.005621201,0.011274138,0.11077014356851578,0.05941406264901161,-0.18631865084171295,-0.16370779275894165
Estepa,356600800400197959,331305.1,5258818.7,2.13,0.03021067,0.06135343,0.10894647985696793,0.0570954829454422,-0.20239931344985962,-0.17613910138607025
Estepa,356600800400197960,331353.1,5258788.0,2.92,0.061256316,0.12642816,0.10903191566467285,0.055602602660655975,-0.20853619277477264,-0.18904855847358704
Estepa,356600800400197961,331401.1,5258757.3,3.48,0.11504932,0.24445647,0.11580660939216614,0.05754299834370613,-0.22011594474315643,-0.202558696269989
Estepa,356600800400197962,331449.2,5258726.5,2.17,0.014795333,0.02981189,0.13750524818897247,0.06785304844379425,-0.21967925131320953,-0.19974860548973083
Estepa,356600800400197963,331497.1,5258695.8,1.9,0.011700516,0.023539098,0.12299581617116928,0.06123210862278938,-0.22131192684173584,-0.20339836180210114
Estepa,356600800400197964,331545.1,5258665.2,1.98,0.01680271,0.033891134,0.1473647952079773,0.06903049349784851,-0.24434679746627808,-0.2311648577451706
Estepa,356600800400197965,331593.0,5258634.6,1.94,0.013835008,0.027863331,0.15145286917686462,0.06955723464488983,-0.2490341067314148,-0.23159708082675934
Estepa,356600800400197966,331640.9,5258604.0,1.87,0.012907911,0.02598399,0.15524420142173767,0.07087548822164536,-0.24875429272651672,-0.22907696664333344
Estepa,356600800400197967,331688.7,5258573.5,2.28,0.009784638,0.019665705,0.15229228138923645,0.06979459524154663,-0.24575397372245789,-0.22406329214572906
Estepa,356600800400197968,331736.3,5258543.1,3.7,0.07371403,0.15314831,0.15961343050003052,0.07153908908367157,-0.2508643865585327,-0.22586587071418762
Estepa,356600800400197969,331784.1,5258512.6,3.25,0.07433459,0.15448871,0.14888375997543335,0.07129061967134476,-0.2180318981409073,-0.19280529022216797
Estepa,356600800400197970,331832.0,5258482.0,2.77,0.06040445,0.12461401,0.11888248473405838,0.05751411244273186,-0.20235708355903625,-0.1872454136610031
Estepa,356600800400197971,331880.0,5258451.3,2.99,0.021136668,0.042726777,0.10672677308320999,0.05300803482532501,-0.19603702425956726,-0.17954999208450317
