shot_number,aoi,sitio,lat,lon,este_utm19s,norte_utm19s,particion,rh95,rh50,pai,cover,fhd_normal,pendiente_grados,agbd_Mg_ha,agbd_se_Mg_ha,predict_stratum,agbd_origen,leaf_off_flag,NDVI,EVI,NDMI,NBR,g0_C_VH,g0_C_VV,g0_L_SAOCOM_HH,g0_L_SAOCOM_HV,g0_L_NISAR_HH,g0_L_NISAR_HV,g0_L_PALSAR2_HH,g0_L_PALSAR2_HV
334320200400263282,BOSQUE_NW_02,bosque,-42.678919,-71.534706,292322.2,5271724.6,entrenamiento,25.07,11.49,2.5583932,0.7214082,3.1969662,19.28,126.68451,13.085787,DBT_SA,hoja_caida,1,0.88951,0.51368,0.33081,0.63309,-15.517,-9.998,-11.155,-15.524,-6.223,-12.204,-6.675,-10.784
334320200400263285,BOSQUE_NW_02,bosque,-42.679790,-71.532959,292468.2,5271632.2,entrenamiento,25.67,16.99,4.6106954,0.8996693,3.207591,16.88,169.87575,13.085318,DBT_SA,hoja_caida,1,0.89312,0.52633,0.33966,0.62796,-15.180,-9.560,-11.122,-15.904,-6.280,-11.467,-6.432,-10.905
334320200400263304,BOSQUE_NW_02,bosque,-42.685293,-71.521958,293387.9,5271048.1,entrenamiento,3.18,0.03,0.1693514,0.08118673,1.6930311,12.24,,,,,,0.77735,0.46558,0.18016,0.42690,-16.295,-10.215,-12.383,-17.181,-6.544,-11.847,-6.860,-12.228
334320200400263320,BOSQUE_NW_02,bosque,-42.689897,-71.512819,294151.9,5270559.1,validacion,13.4,8.04,1.8953965,0.61214596,2.5260625,10.09,37.152527,13.098785,DBT_SA,hoja_caida,1,0.86077,0.51737,0.28402,0.57312,-16.450,-9.817,-11.906,-17.111,-6.043,-11.589,-6.612,-10.643
334320200400263322,BOSQUE_NW_02,bosque,-42.690474,-71.511672,294247.7,5270497.8,validacion,14.67,10.25,2.930051,0.76853836,2.5859928,5.94,52.974854,13.098199,DBT_SA,hoja_caida,1,0.78148,0.46578,0.19376,0.46121,-16.532,-10.162,-11.623,-16.614,-6.026,-11.164,-6.098,-9.943
334320200400263325,BOSQUE_NW_02,bosque,-42.691338,-71.509956,294391.2,5270406.0,validacion,13.69,7.07,3.4545496,0.8217655,2.5258784,9.75,35.312172,13.09646,DBT_SA,hoja_caida,1,0.90265,0.60402,0.38281,0.67755,-15.853,-9.311,-11.143,-16.826,-6.240,-11.067,-5.915,-10.530
334320200400263327,BOSQUE_NW_02,bosque,-42.691915,-71.508808,294487.1,5270344.8,validacion,14.29,6.88,3.2995555,0.807463,2.483898,5.66,37.624836,13.094699,DBT_SA,hoja_caida,1,0.88176,0.60218,0.37471,0.65570,-16.230,-9.361,-11.687,-16.958,-6.025,-11.046,-6.270,-11.637
334320300400258248,BOSQUE_NW_02,bosque,-42.656795,-71.592252,287531.6,5274038.4,entrenamiento,11.86,3.66,1.4555335,0.5168669,2.5260534,18.70,,,,,,0.90999,0.68683,0.40358,0.71276,-15.833,-8.972,-11.238,-16.442,-6.199,-11.623,-6.804,-11.856
334320300400258249,BOSQUE_NW_02,bosque,-42.657083,-71.591679,287579.5,5274007.8,entrenamiento,12.91,7.97,4.284811,0.88206863,2.4806192,19.38,35.991165,13.099311,DBT_SA,hoja_caida,1,0.92521,0.76025,0.44937,0.74460,-16.083,-9.128,-11.262,-16.402,-6.365,-11.584,-7.267,-12.230
334320300400258251,BOSQUE_NW_02,bosque,-42.657660,-71.590534,287675.4,5273946.7,entrenamiento,16.2,11.86,4.151831,0.8740144,2.7608857,13.95,69.520485,13.096354,DBT_SA,hoja_caida,1,0.89120,0.64776,0.37035,0.68631,-15.272,-8.941,-11.230,-16.467,-6.134,-11.401,-6.999,-11.927
